target,delta_aox,classification,gamma_pn,gamma_pn_lo,gamma_pn_hi,dof_pn,gamma_combined,gamma_combined_lo,gamma_combined_hi,dof_combined,gamma_mos,gamma_mos_lo,gamma_mos_hi,dof_mos,hr_median,hr_lo,hr_hi,fvar,fvar_err
PG 1211+143,,test,4.878064088659278,0.0,0.0,58.0,2.8259335797260925,2.8178528956944606,2.8340439945286917,3526.0,3.0385483354332647,3.019576216471206,3.057752923979734,2168.0,-0.741575,-0.742901,-0.740294,0.12978505,0.0005573638622092398
3C 273,,test,1.700770398277652,1.6691872037867073,1.7326306646889238,722.0,1.700772026205207,1.6691883361647373,1.7326313397114108,1428.0,5.0,2.4781116796139364,0.0,704.0,-0.395233,-0.395886,-0.39459,0.012773923,1.8663817606877933e-05
PHL 1811,,test,0.1000003332400858,0.0,1.3716925046767903,53.0,0.10000001065963213,0.0,1.600738696570192,91.0,1.3118069079690349,0.10733232925728853,2.9365492169527787,93.0,-0.554534,-0.597436,-0.516992,0.0,0.051938332624644735
SDSS_J082619.70+314847.9,,test,5.312116443452611,0.0,0.0,97.0,1.7930342713988494,1.5932538514864132,2.006744599232821,257.0,1.8149803263752065,1.5644783365767907,2.0890739866672314,158.0,-0.690262,-1.0,-0.563191,0.0,0.3656486968189399
SDSS_J102714.77+354317.4,,test,1.9936732976498657,1.9240417433013728,2.064860952901825,407.0,1.9446114552206262,1.8934870865018794,1.996323320239112,870.0,1.8896484921207444,1.812446263005932,1.9678834954959874,461.0,-0.618443,-0.654499,-0.585077,0.15301137,0.017898852199095917
SDSS_J094734.19+142116.9,,test,2.053769431607502,1.9686161415984178,2.1413739558279152,347.0,1.981625516892618,1.9209788689843195,2.0434391171513435,776.0,1.9128257932452597,1.8242898179156604,2.0029446476445587,427.0,-0.691419,-0.735403,-0.648035,0.0,0.0357425763616173
SDSS_J104111.45+573848.3,-0.35908005942388144,weak,3.2767975168181245,0.0,0.0,64.0,4.286071815224319,2.595184297993706,0.0,96.0,-0.3999819625264881,0.0,0.0,30.0,-0.687633,-1.0,-0.384871,0.0,0.9904619181673355
SDSS_J093857.01+412821.2,-0.3537454713184296,weak,1.087868010204661,0.7667720792235969,1.4197947077602953,55.0,0.44182607176036304,0.0,0.0,251.0,0.3629912034693519,0.0,0.0,198.0,-0.288955,-0.621513,-0.001188,0.0,0.4436576920870482
SDSS_J080342.03+302254.7,-0.3320225632604874,weak,1.1652222618162504,1.0721687965358155,1.2603539265676114,381.0,1.207149178589692,1.1374272133503487,1.2779367102313621,738.0,1.2670913192365876,1.1612073374182703,1.3755003392010146,355.0,-0.206605,-0.266809,-0.130589,0.0,0.060491123175246915
SDSS_J113537.67+491323.2,-0.42704866551316556,weak,,,,,,,,,,,,,,,,,
SDSS_J114900.13+592225.0,-0.3796829708445806,weak,0.6153077505249311,0.0,0.0,242.0,0.7036243030078657,-0.1412615643433075,1.4759888895688127,516.0,,,,,-0.12114,-0.420768,0.222777,,
SDSS_J170229.55+335027.2,-0.3925063904528905,weak,3.546695581378891,0.0,0.0,93.0,1.9013699253295693,1.4629449336561242,2.3867863956914124,126.0,-0.399998941750322,0.0,0.6392375374471158,31.0,-0.757213,-1.0,-0.599273,,
SDSS_J142745.40+554525.1,-0.3372163975319644,weak,,,,,4.009180690988734,0.0,0.0,387.0,1.7231876826946122,0.0,0.0,203.0,-0.212658,-1.0,0.350389,0.0,0.44290374065168114
SDSS_J161455.05+264327.9,-0.4107837304112998,weak,,,,,2.3731956080596723,0.0,0.0,132.0,0.468290823330892,0.0,0.0,56.0,-0.109665,-1.0,0.422936,0.0,0.7836791785252207
SDSS_J021649.79-061152.0,-0.31760768395957584,weak,1.838612878953832,1.5858880136474978,2.113842362656042,85.0,1.981313865253049,1.7694432291399118,2.210572192609359,165.0,2.2241038419031987,0.0,0.0,78.0,-0.522979,-0.714785,-0.337694,0.0,0.29612356090070896
SDSS_J122440.39+560909.7,-0.3504198920093522,weak,,,,,,,,,,,,,,,,,
SDSS_J083130.45+320537.5,-0.4535766956960998,weak,,,,,1.0689197994412156,0.47349206810232924,1.691707869200581,179.0,0.6382210102535635,0.0,0.0,95.0,-0.637584,-1.0,-0.25668,0.0,0.4787213381913197
SDSS_J020535.44-043550.8,-0.3767545967456485,weak,1.5251353007190673,1.2108292594482473,1.8651610908378942,65.0,1.8198916933592568,1.4947192116443628,2.2614592766960397,78.0,5.499999995736414,0.0,0.0,11.0,-0.576713,-0.876609,-0.330702,0.0,0.24989794187784356
SDSS_J084248.86+114219.0,-0.34950991268027565,weak,,,,,,,,,,,,,,,,,
SDSS_J150728.31+574920.1,-0.3339390830396276,weak,,,,,,,,,,,,,,,,,
SDSS_J015356.68-001249.2,-0.3257676480814453,weak,,,,,,,,,,,,,0.351162,0.0079,0.760869,,
SDSS_J142231.28+441455.6,0.006992074212185173,normal,,,,,,,,,,,,,-0.194285,-1.0,0.370988,0.0,0.9016219856395024
SDSS_J094446.36+040659.7,-0.0006930885089957428,normal,2.3790408398431437,2.156035439065853,2.618786533678682,119.0,2.1796360397951657,2.0105498104792345,2.3582314288604986,245.0,1.8588094479949615,1.6111453437708454,2.1268359404094634,124.0,-0.819595,-0.999998,-0.760107,0.0,0.11322753280870208
SDSS_J112104.93+432141.6,0.010608590947700947,normal,1.613438342027734,0.520185353063839,2.86903629781253,51.0,1.613438342027734,0.520185353063839,2.86903629781253,51.0,,,,,-0.733637,-1.0,-0.502642,0.0,0.5302103515438669
SDSS_J022742.83+004002.9,0.0005042534580788072,normal,1.605860951898659,1.402998996097954,1.8336331261711754,159.0,1.9155370536945686,1.735194284878797,2.106484451449472,336.0,2.1090907558994756,1.813186010601754,2.4307398436605667,175.0,-0.363206,-0.476152,-0.242809,,
SDSS_J073534.70+434638.2,0.0017256968605643408,normal,,,,,4.972049907772704,0.0,0.0,640.0,4.972049907772704,0.0,0.0,640.0,0.551432,0.111636,1.0,0.0,0.9715259438708524
SDSS_J222406.03-013111.4,-0.004269208246736156,normal,1.5109048430068972,1.1469416277492184,1.9192032424284826,215.0,1.463142484042923,1.2259646982634747,1.7094177929810637,396.0,1.4268679829001467,1.1141379411036314,1.7499274571622192,179.0,-0.24099,-0.529401,0.013329,0.0,0.27780041197320965
SDSS_J234100.91-085531.9,-0.02572552622416424,normal,2.353693083844597,2.1509434794701976,2.5697381414791614,178.0,2.261600343387978,2.093041690138681,2.439249245231567,277.0,2.0497990810946964,1.754261186522526,2.373628523449938,97.0,-0.951322,-1.0,-0.912724,0.0,0.15647577241312208
SDSS_J123151.66+255217.6,-0.18776534544857526,normal,0.35610288326106687,0.0,0.0,89.0,0.4672082317346141,-0.33108355056780225,1.1399145575137062,139.0,,,,,0.438149,0.083308,0.78702,,
