instrument,energy_kev,counts,error
pn,0.0,0.0,1.0
pn,0.001,0.0,1.0
pn,0.002,0.0,1.0
pn,0.003,0.0,1.0
pn,0.004,0.0,1.0
pn,0.005,0.0,1.0
pn,0.006,0.0,1.0
pn,0.007,0.0,1.0
pn,0.008,0.0,1.0
pn,0.009,0.0,1.0
pn,0.01,0.0,1.0
pn,0.011,0.0,1.0
pn,0.012,0.0,1.0
pn,0.013,0.0,1.0
pn,0.014,0.0,1.0
pn,0.015,0.0,1.0
pn,0.016,0.0,1.0
pn,0.017,0.0,1.0
pn,0.018,0.0,1.0
pn,0.019,0.0,1.0
pn,0.02,0.0,1.0
pn,0.021,0.0,1.0
pn,0.022,0.0,1.0
pn,0.023,0.0,1.0
pn,0.024,0.0,1.0
pn,0.025,0.0,1.0
pn,0.026,0.0,1.0
pn,0.027,0.0,1.0
pn,0.028,0.0,1.0
pn,0.029,0.0,1.0
pn,0.03,47.0,6.855654600401044
pn,0.031,37.0,6.082762530298219
pn,0.032,30.0,5.477225575051661
pn,0.033,24.0,4.898979485566356
pn,0.034,11.0,3.3166247903554
pn,0.035,21.0,4.58257569495584
pn,0.036,17.0,4.123105625617661
pn,0.037,9.0,3.0
pn,0.038,10.0,3.1622776601683795
pn,0.039,10.0,3.1622776601683795
pn,0.04,4.0,2.0
pn,0.041,5.0,2.23606797749979
pn,0.042,7.0,2.6457513110645907
pn,0.043,8.0,2.8284271247461903
pn,0.044,13.0,3.605551275463989
pn,0.045,18.0,4.242640687119285
pn,0.046,12.0,3.4641016151377544
pn,0.047,19.0,4.358898943540674
pn,0.048,11.0,3.3166247903554
pn,0.049,10.0,3.1622776601683795
pn,0.05,15.0,3.872983346207417
pn,0.051,10.0,3.1622776601683795
pn,0.052,11.0,3.3166247903554
pn,0.053,14.0,3.7416573867739413
pn,0.054,15.0,3.872983346207417
pn,0.055,13.0,3.605551275463989
pn,0.056,11.0,3.3166247903554
pn,0.057,5.0,2.23606797749979
pn,0.058,5.0,2.23606797749979
pn,0.059,12.0,3.4641016151377544
pn,0.06,8.0,2.8284271247461903
pn,0.061,6.0,2.449489742783178
