instrument,time_s,count_rate,error
pn,0.0,0.024023935,0.010623044
pn,500.0,0.026127154,0.011188909
pn,1000.0,0.019420486,0.0100684585
pn,1500.0,0.030275775,0.011791762
pn,2000.0,0.018779624,0.00998045
pn,2500.0,0.041688602,0.013709308
pn,3000.0,0.02911125,0.011799774
pn,3500.0,0.04020271,0.01473313
pn,4000.0,0.038345676,0.012746255
pn,4500.0,0.004419715,0.0072275326
pn,5000.0,0.029393159,0.01172376
pn,5500.0,0.030136565,0.011737831
pn,6000.0,0.019376053,0.0100455955
pn,6500.0,0.024672477,0.011276359
pn,7000.0,0.033599403,0.012234986
pn,7500.0,0.026684059,0.011225995
pn,8000.0,0.011894047,0.008743107
pn,8500.0,0.03355559,0.012897775
pn,9000.0,0.0041628242,0.0071965987
pn,9500.0,0.029104993,0.01179734
pn,10000.0,0.018390266,0.010020923
pn,10500.0,0.0272485,0.011263335
pn,11000.0,0.010033449,0.008015124
pn,11500.0,0.013177885,0.008660198
pn,12000.0,0.0037033884,0.0072099622
pn,12500.0,0.018084764,0.009983158
pn,13000.0,0.011629101,0.008719023
pn,13500.0,0.025684355,0.011304308
pn,14000.0,0.01952335,0.010728817
pn,14500.0,0.032382768,0.011696036
pn,15000.0,0.05343303,0.014939915
pn,15500.0,0.017697133,0.009384572
pn,16000.0,0.010713069,0.007991579
pn,16500.0,0.02759742,0.01121099
pn,17000.0,0.008590498,0.007984112
pn,17500.0,0.022876551,0.010635613
pn,18000.0,0.031662416,0.011691421
pn,18500.0,0.021081416,0.010797175
pn,19000.0,0.025103776,0.011255737
pn,19500.0,0.04469473,0.0136179635
pn,20000.0,0.023570862,0.010630724
pn,20500.0,0.047599293,0.014603826
pn,21000.0,0.020778835,0.010645615
pn,21500.0,0.018488823,0.010074527
pn,22000.0,0.028820544,0.0117766475
pn,22500.0,0.020265369,0.0100204395
pn,23000.0,0.018946243,0.010066363
pn,23500.0,0.029240098,0.011757381
pn,24000.0,0.020635817,0.010085771
pn,24500.0,0.004162948,0.0071980115
pn,25000.0,0.017858759,0.010117622
pn,25500.0,0.019197028,0.010075296
